id,title,bhg_group,cluster,duration_years,bibb_url,skills,description,x,y
0,Bauwerksabdichter/Bauwerksabdichterin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4823301,und Tiefbaus und von Dachdeckereien|Trag|Mauer|Putz|Beton|und Stemmarbeiten,"Profil der beruflichen Handlungsfähigkeit: Prüfen der Zweckmäßigkeit der Abdichtungsmaßnahme vor Ort, insbesondere hinsichtlich des Wärme- und Brandschutzes, Prüfen der Abdichtungsuntergründe auf Beschaffenheit und Eignung, Ausbessern der Abdichtungsuntergründe oder Veranlassen entsprechender Maßnahmen, Prüfen der Abreißfestigkeit des Betons von Verkehrsflächen und Vorbereiten und Beschichten der Betonflächen, Einschätzen der Witterungsverhältnisse im Hinblick auf die Art der Abdichtung und Ergreifen von Schutzmaßnahmen für die Abdichtung bei Arbeitsunterbrechungen, Herstellen von Abdichtungen gegen Bodenfeuchtigkeit, gegen nichtdrückendes und gegen drückendes Wasser bei Dächern, unter Dachbegrünungen, bei Terrassen und Balkonen, Bodenplatten und Kelleraußenwänden, Bädern und Küchen, Großbehältern und Deponien, Parkdecks sowie Tunnel- und Brückenbauwerken, Herstellen von Abdichtungsanschlüssen und Abdichtungsabschlüssen sowie von Bewegungsfugen, Einbauen von Dämmstoffen, Herstellen von Schutzschichten und Belägen, Anfertigen von Bauberichten und Aufmaßskizzen und Dokumentieren der erbrachten Leistungen, Prüfen der fehlerfreien Ausführung und Qualität Abdichtungsarbeiten, Sanieren und Reparieren sowie Warten und Instandhalten von abgedichteten Flächen, Selbständiges Vorbereiten und Durchführen der Arbeiten auf der Grundlage von technischen Unterlagen und von Arbeitsaufträgen allein und in Kooperation mit anderen, Planen und Koordinieren der Arbeit, Abstimmen mit den am Bau Beteiligten, Ergreifen von Maßnahmen zur Sicherstellung des Arbeitsablaufes, zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz auf der Baustelle, Einrichten von Baustellen, Sichern des Arbeitsplatzes zur Abwehr von Unfällen und Gefahren, Aufstellen von Arbeits-, Trag- und Schutzgerüsten und Prüfen der Betriebssicherheit, Aufstellen und Bedienen von Gasbrennern, Bitumenschmelzkochern, Schweißautomaten, Abreißprüfgeräten sowie von Bauaufzugsanlagen, Anfertigen von einfachen Skizzen, Zeichnungen und Verlegeplänen und Durchführen von Messungen, Prüfen von Bau- und Bauhilfsstoffen nach Art und Menge und Lagern und Transportieren dieser Stoffe, Ausführen einfacher Holz-, Mauer-, Putz-, Beton- und Stemmarbeiten.

Berufliche Tätigkeitsfelder: Bauwerksabdichter/innen sind in Betrieben der Bauwirtschaft beschäftigt, vor allem in Spezialbauunternehmen für Abdichtungstechnik oder Flachdachabdichtung sowie in Sonderabteilungen von Bauunternehmen des Hoch- und Tiefbaus und von Dachdeckereien.",176.46757333230283,-259.27875559103023
1,Bodenleger/Bodenlegerin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/89576854,,"Profil der beruflichen Handlungsfähigkeit: Verlegen von Fertigparkett und Schichtwerkstoffen, Prüfen der Verlegebedingungen, Vorbereiten von Untergründen zum Verlegen von textilen und elastischen Bodenbelägen sowie von Fertigparkett und Schichtwerkstoffen, Herstellen von Untergründen, Gestalten und Verlegen von textilen und elastischen Bodenbelägen, Behandeln von Oberflächen von Korkböden und anderen Bodenbelägen, Be- und Verarbeiten und Anbringen von Profilen, Instandsetzen und Instandhalten von textilen und elastischen Bodenbelägen sowie Fertigparkett und Schichtwerkstoffen, Prüfen der Arbeiten auf fehlerfreie Ausführung und Dokumentieren der Arbeit, Durchführen qualitätssichernder Maßnahmen und Berechnen der erbrachten Leistung, Bedienen und Instandhalten von Geräten und Maschinen, Durchführen von Messungen und Dokumentieren der Ergebnisse, Auswählen und Einrichten von Geräten und Maschinen und Durchführen von Wartungsarbeiten, Manuelles und maschinelles Verarbeiten von Holz, Holzwerkstoffen, Kunststoffen und Metallen, Selbständiges und kundenorientiertes Durchführen der Arbeiten auf der Grundlage von technischen Unterlagen und von Arbeitsaufträgen allein, im Team und in Kooperation mit anderen Gewerken, Planen und Koordinieren der Arbeit, Einrichten von Arbeitsplätzen und Ergreifen von Maßnahmen zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz.

Berufliche Tätigkeitsfelder: Bodenleger/innen arbeiten insbesondere in Fußbodenverlegebetrieben, in Fachbetrieben des Raumausstatterhandwerks sowie in allen Betrieben, die entsprechende Dienstleistungen anbieten, zum Beispiel in Raumausstattungsabteilungen von Warenhäusern und in Fachgeschäften für Bodenbeläge oder Raumausstattung.",193.4908532758973,-249.59725101185933
2,Estrichleger/Estrichlegerin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4861101,Kälte,"Profil der beruflichen Handlungsfähigkeit: Herstellen von Estrichen aus verschiedenen Materialien und Verlegen von Oberböden, Vorbereiten von Untergründen nach unterschiedlichen Verfahren, Herstellen von Estrichmörtel mit unterschiedlichen Bindemitteln, Herstellen von verschiedenen Estrichen, auch als Gefälle- und Ausgleichestriche, mit und ohne Bewehrungen, Einbringen von Verbundestrichen, Estrichen auf Trennschichten und schwimmende Estriche von Hand und maschinell, Einbauen von Fertigteilestrichen unterschiedlicher Systeme, Auftragen von Kunstharzschichten, Einbauen von Hohlraum- und Doppelböden, Herstellen von Böden aus Beton, Auswählen von Platten, Bahnen und Laminaten für Bodenbeläge im Hinblick auf die Gestaltung von Flächen, Verlegen von Belägen aus Platten, Bahnen und Laminaten, Herstellen von Bauteilen im Trockenbau, beispielsweise Sonderkonstruktionen für Böden, Einbauen von Dämmstoffen für den Wärme-, Kälte- und Schallschutz und Prüfen der Estriche und Beläge auf Schäden, Sanieren und Instandsetzen der Estriche und Beläge, Durchführen von angrenzenden Arbeiten in den Gewerben des Hochbaus, Selbständiges Durchführen der Arbeiten auf der Grundlage von technischen Unterlagen und von Arbeitsaufträgen allein und in Kooperation mit anderen, Planen und Koordinieren der Arbeit, Abstimmen mit den am Bau Beteiligten, Einrichten von Baustellen, Ergreifen von Maßnahmen zur Sicherstellung des Arbeitsablaufes, zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz auf der Baustelle, Prüfen der Arbeiten auf fehlerfreie Ausführung und Dokumentieren der Arbeit, Durchführen von qualitätssichernden Maßnahmen, Berechnen der erbrachten Leistung und Übergeben der geräumten Baustelle, Einsetzen von Geräten und Maschinen und Einmessen von Bauwerken und Bauteilen.

Berufliche Tätigkeitsfelder: In Estrichlegereien, in Fachbetrieben für Fußbodentechnik, in Betrieben des Bauhauptgewerbes sowie bei Altbausanierungsunternehmen arbeiten Estrichleger/innen. Sie sind auf wechselnden Baustellen tätig.",230.0955571062147,-326.2793531921429
3,Fachkraft für Holz- und Bautenschutzarbeiten,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",2.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/0181007,Fachkräfte für Holz|Erkennen von Schäden an Holz,"Profil der beruflichen Handlungsfähigkeit: Erkennen von Schäden an Holz- und Holzbauteilen, Durchführen von vorbeugenden Holzschutzmaßnahmen gegen tierische und pflanzliche Holzzerstörer (Insekten und Pilze), Bekämpfen von holzzerstörende Insekten und Pilzen, Beseitigen von Schäden, welche durch tierische und pflanzliche Holzzerstörer verursacht werden, Erkennen von Schäden an Bauwerken aus Beton, Mauerwerk und Naturstein, Trocknen durchfeuchteter Bauwerke, Durchführen von Außen- und Innenabdichtungen an erdberührten Bauteilen, Durchführen nachträglicher chemischer Horizontalabdichtungen, Aufbringen von Sanierputzen, Instandsetzen von feuchte- und salzgeschädigten Mauerwerken, Planen und Dokumentieren der Arbeit, Ergreifen von Maßnahmen zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz am Arbeitsplatz, Einrichten, Sichern und Räumen von Arbeitsplätzen, kunden- und betriebswirtschaftlich orientiertes Arbeiten auf der Grundlage von Arbeitsaufträgen allein und im Team, Durchführen von qualitätssichernden Maßnahmen.

Berufliche Tätigkeitsfelder: Fachkräfte für Holz- und Bautenschutzarbeiten arbeiten in Betrieben des Holz- und Bautenschutzgewerbes des Handwerks und der Industrie.",25.399975622271644,-93.74573216059727
4,"Fliesen-, Platten- und Mosaikleger/ Fliesen-, Platten- und Mosaiklegerin",(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4830101,Ihren Arbeitsplatz haben Fliesen|Platten|und Mosaikleger/innen in Hochbau|Kälte,"Profil der beruflichen Handlungsfähigkeit: Verlegen von Fliesen, Platten, Mosaiken, Natursteinen und Werksteinen im Dick- und Dünnbettverfahren, Auswählen von Fliesen, Platten, Mosaiken, Natursteinen und Werksteinen im Hinblick auf die Gestaltung von Flächen, Vorbereiten von Untergründen nach unterschiedlichen Verfahren, Herstellen von Putzen und Estrichen, Herstellen von Bekleidungen und Belägen für gegliederte, vertikale, horizontale und geneigte Flächen, Bekleiden von Bauteilen, insbesondere Säulen, Treppen, Bögen, Herstellen und Montieren von Ummantelungen und Verkleidungen, Montieren von vorgefertigten Bauteilen, insbesondere Sanitärsystembauteile, Tragkonstruktionen und Montagewände, Ausführen von Abdichtungen im Verbund mit Bekleidungen und Belägen aus Fliesen, Platten und Mosaiken, Einbauen von Dämmstoffen für den Wärme-, Kälte- und Schallschutz, Entfernen von Ausblühungen und Prüfen von Bekleidungen und Belägen auf Schäden, Sanieren und Instandsetzen, Durchführen von angrenzenden Arbeiten in den Gewerben des Hochbaus, Selbständiges Durchführen der Arbeiten auf der Grundlage von technischen Unterlagen und von Arbeitsaufträgen allein und in Kooperation mit anderen, Planen und Koordinieren der Arbeit, Abstimmen mit den am Bau Beteiligten, Einrichten von Baustellen, Ergreifen von Maßnahmen zur Sicherstellung des Arbeitsablaufes, zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz auf der Baustelle, Prüfen der Arbeiten auf fehlerfreie Ausführung, Dokumentieren der Arbeiten, Durchführen von qualitätssichernden Maßnahmen, Berechnen der erbrachten Leistung und Übergeben der geräumten Baustelle, Einsetzen von Geräten und Maschinen, Auf- und Abbauen von Arbeitsgerüsten und Einmessen von Bauwerken und Bauteilen.

Berufliche Tätigkeitsfelder: Ihren Arbeitsplatz haben Fliesen-, Platten- und Mosaikleger/innen in Hochbau- und Ausbauunternehmen und Handwerksbetrieben, zum Beispiel bei Verlegebetrieben.",173.20387409989883,-247.97874563696035
5,Industrie-Isolierer/Industrie-Isoliererin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4820101,Herstellen von Wärme|Kälte,"Profil der beruflichen Handlungsfähigkeit: Herstellen von Wärme-, Kälte- und Schalldämmungen an Rohrleitungen, Behältern, Einbauten, Decken und Wänden, Aufstellen und Prüfen von Arbeits- und Schutzgerüsten, Montieren von Leichtwänden und abgehängten Decken, Aufreißen, Abwickeln, Herstellen und Montieren von einfachen und komplexen Formteilen aus Blech, Aufmessen von Anlageteilen und Anfertigen von Isometrien, Auswählen von Dämmstoffen, Werkstoffen für Ummantelungen und Befestigungsmitteln nach Anwendungszweck und unter Berücksichtigung schall- und brandschutztechnischer Gesichtspunkte, Anbringen der Dämmstoffe durch Anlegen, Ansetzen, Wickeln, Kleben, Verdrahten und Bandagieren, Einbringen der Dämmstoffe durch Schütten, Blasen, Stopfen und Schäumen, Herstellen und Anbringen von Matratzen aus Dämmstoffen, Herstellen und Anbringen von Stütz- und Tragkonstruktionen, Ummanteln der Dämmungen mit Blechen, Folien, Bahnen, Bandagen und plastischen Hartmänteln und Formstücken, Prüfen der Ausführung von Dämmsystemen und Dampfbremsen sowie Beurteilen ihrer Wirkung, Ergreifen von Maßnahmen zur Qualitätssicherung.

Berufliche Tätigkeitsfelder: Beschäftigungsmöglichkeiten ergeben sich für Industrie-Isolierer/innen sowohl in Betrieben, die sich auf Dämmungen und Isolierungen spezialisiert haben, als auch in großen Industriebetrieben, wie Kraftwerken, Raffinerien, Energieversorgungsunternehmen oder in der chemischen Industrie.",22.53534446086161,-70.34794308347834
6,Isolierfacharbeiter/Isolierfacharbeiterin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",2.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4820301,Herstellen von Wärme|Kälte,"Profil der beruflichen Handlungsfähigkeit: Herstellen von Wärme-, Kälte- und Schalldämmungen an Rohrleitungen, Behältern, Einbauten, Decken und Wänden, Aufstellen und Prüfen von Arbeits- und Schutzgerüsten, Montieren von Leichtwänden und abgehängten Decken, Aufreißen, Abwickeln und Herstellen von einfachen Formteilen aus Blech, Montieren von Formteilen, Auswählen von Dämmstoffen, Werkstoffen für Ummantelungen und Befestigungsmitteln nach Anwendungszweck und unter Berücksichtigung schall- und brandschutztechnischer Gesichtspunkte, Anbringen der Dämmstoffe durch Anlegen, Ansetzen, Wickeln, Kleben, Verdrahten und Bandagieren, Einbringen der Dämmstoffe durch Schütten, Blasen, Stopfen und Schäumen, Herstellen und Anbringen von Matratzen aus Dämmstoffen, Herstellen und Anbringen von Stütz- und Tragkonstruktionen, Ummanteln der Dämmungen mit Blechen, Folien, Bahnen, Bandagen und plastischen Hartmänteln, Kontrollieren der ausgeführten Arbeiten.

Berufliche Tätigkeitsfelder: Beschäftigungsmöglichkeiten ergeben sich sowohl in Betrieben, die sich auf Dämmungen und Isolierungen spezialisiert haben als auch in großen Industriebetrieben, wie Kraftwerken, Raffinerien, Energieversorgungsunternehmen oder in der chemischen Industrie.",-7.075202209121764,-39.31904517928805
7,Parkettleger/Parkettlegerin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/89896111,,Parkettleger/Parkettlegerin,-300.0858901306292,249.25006515885727
8,Rollladen- und Sonnenschutzmechatroniker/ Rollladen- und Sonnenschutzmechatroni-kerin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/gd8798,Rollladen|und Sonnenschutzanlagen|und Hilfsstoffen sowie Halbzeuge be,"Profil der beruflichen Handlungsfähigkeit: Rollpanzer und Behänge aus Halbzeugen herstellen, Rollläden, Markisen und Jalousien herstellen, liefern und montieren, Tore und Rollgitter montieren und dabei die Herstellervorgaben umsetzen, Rollladen- und Fensterkombinationen herstellen und montieren, Antriebe und Steuerungen montieren und nach Kundenanforderungen programmieren, Maßnahmen zur Energieeinsparung planen und durchführen, Sicherheits- und Einbruchschutzmaßnahmen bei Herstellung, Montage und Sanierung von Rollläden, Fenstern und Türen durchführen, Sicherheits- und Funktionsprüfungen durchführen und dokumentieren, Transport von Bauteilen, Baugruppen und Arbeitsmitteln organisieren, Qualitätssichernde Maßnahmen durchführen und dabei Zusammenhänge zwischen Qualität, Kundenzufriedenheit und Betriebserfolg berücksichtigen, Arbeiten auf der Grundlage von Arbeitsaufträgen oder Plänen alleine und im Team durchführen mit anderen Gewerken selbständig und kundenorientiert koordinieren, Arbeitsplätze einrichten, sichern und räumen, Werk- und Hilfsstoffen sowie Halbzeuge be- und verarbeiten, Werkzeuge, Geräte, Maschinen und technische Anlagen handhaben, bedienen und Instand setzen, Wartungs- und Instandsetzungsmaßnahmen vorbereiten, durchführen und dokumentieren, Leistungen übergeben, Kundengespräche führen, weitere Kundenbedarfe erfassen und deren Umsetzbarkeit prüfen, erbrachte Leistungen berechnen und Maßnahmen zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz am Arbeitsplatz ergreifen.

Berufliche Tätigkeitsfelder: Rollladen- und Sonnenschutzmechatroniker/innen arbeiten vor allem in Fachbetrieben des Rollladen- und Sonnenschutztechnikerhandwerks und bei industriellen Herstellern von Rollladen- und Sonnenschutzanlagen.",-15.562957757873379,-53.601630903259654
9,Stuckateur/Stuckateurin,(Innen-)Ausbauberufe,"Ingenieurwesen, Produktion & Handwerk",3.0,https://www.bibb.de/dienst/berufesuche/de/index_berufesuche.php/profile/apprenticeship/4810101,und Abbauen von Arbeits|Schutz|Kälte|Schall,"Profil der beruflichen Handlungsfähigkeit: Selbständiges Durchführen der Arbeiten auf der Grundlage von technischen Unterlagen und von Arbeitsaufträgen allein und in Kooperation mit anderen, Planen und Koordinieren der Arbeit und Abstimmen mit den am Bau Beteiligten, Einrichten von Baustellen und Ergreifen von Maßnahmen zur Sicherstellung des Arbeitsablaufes, zur Sicherheit und zum Gesundheitsschutz bei der Arbeit sowie zum Umweltschutz auf der Baustelle, Prüfen der Arbeiten auf fehlerfreie Ausführung, Dokumentieren der Arbeiten, Durchführen von qualitätssichernden Maßnahmen, Berechnen der erbrachten Leistung und Übergeben der geräumte Baustelle, Einsetzen von Geräten und Maschinen, Auf- und Abbauen von Arbeits-, Schutz- und Traggerüsten und Einmessen von Bauwerken und Bauteilen, Einteilen von Flächen unter Berücksichtigung gestalterischer Gesichtspunkte, Vorbereiten von Untergründen, Bekleiden von Flächen mit Wand-Trockenputz, Herstellen von Putzen für unterschiedliche Anwendungszwecke und Durchführen von Drahtputzarbeiten, Gestalten von Putzoberflächen, Herstellen von Wärmedämmverbundsystemen, Herstellen von Estrichen und Einbauen von Fertigteilestrichen, Ziehen von Stukkprofilen am Tisch und vor Ort, Versetzen und Einputzen der Stukkprofile, Herstellen von Antragstuck und Ausführen von Arbeiten in Stuccolustro- und Stuckmarmortechnik, Setzen von Wänden aus Gipswandbauplatten, Herstellen von Montagewänden, Ummantelungen, Bekleidungen und Unterdecken im Rahmen des Trockenbaus, Montieren und Einbauen von vorgefertigten Bauteilen, Einbauen von Dämmstoffen für den Wärme-, Kälte-, Schall- und Brandschutz, Feststellen von Schäden im Rahmen von Instandsetzungs- und Sanierungsarbeiten, Ermitteln der Ursachen und Durchführen von Instandsetzungs- und Sanierungsarbeiten, Durchführen von angrenzende Arbeiten in den Gewerben des Hochbaus.

Berufliche Tätigkeitsfelder: Ihren Arbeitsplatz haben Stuckateure/Stuckateurinnen in Betrieben des Stuckateurhandwerks oder in Industriebetrieben des Ausbaus.",332.765068792951,-392.0829705344722
